id,name,image_url,url,rating,price,display_phone,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.city,location.zip_code,location.country,location.state
uZaT6J821lHMFrfrFno7lg,Herban Fix - Vegan Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/iRjr59drQOT-_QjVysIT1Q/o.jpg,https://www.yelp.com/biz/herban-fix-vegan-kitchen-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$,(404) 815-8787,33.7700811335769,-84.3849544543691,565-A Peachtree St NE,,Atlanta,30308,US,GA
7lghBEn9pRjL7HuoOo-OZA,Cafe Sunflower Buckhead,https://s3-media2.fl.yelpcdn.com/bphoto/KA24vraS1pvk5fcTajTucA/o.jpg,https://www.yelp.com/biz/cafe-sunflower-buckhead-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$,(404) 352-8859,33.8126175864874,-84.3932511177215,2140 Peachtree Rd,Ste 105,Atlanta,30309,US,GA
bAybZImsqUwinMrzZlzVIQ,True Food Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/n0Oc5P7fgXrVOlRxyGsC3A/o.jpg,https://www.yelp.com/biz/true-food-kitchen-atlanta-8?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.0,$$,(404) 481-2980,33.847652,-84.363745,3393 Peachtree Rd NE,,Atlanta,30326,US,GA
fxEOPETtJgUX4nRorh3A1A,Local Green Atlanta,https://s3-media3.fl.yelpcdn.com/bphoto/phQJ7Lo7mYDPOo794v1jRw/o.jpg,https://www.yelp.com/biz/local-green-atlanta-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$,(404) 549-9364,33.7552985682324,-84.4173952868731,19 Joseph E Lowery Blvd NW,,Atlanta,30314,US,GA
TW_8Pa8SMr3paZ55vgGfZw,Veggie Busters,https://s3-media2.fl.yelpcdn.com/bphoto/uwK39dPEcyk5LL_URtfkhQ/o.jpg,https://www.yelp.com/biz/veggie-busters-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.0,$$,(404) 941-9431,33.731874,-84.567246,5495 Cascade Rd,,Atlanta,30336,US,GA
BSUDAiXd50PAkfFAztVpDw,Aviva by Kameel - Atlanta,https://s3-media3.fl.yelpcdn.com/bphoto/_x61pM4WZiji4d2jq1GnYw/o.jpg,https://www.yelp.com/biz/aviva-by-kameel-atlanta-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,5.0,$$,(404) 698-3600,33.7605381455292,-84.3865554648041,225 Peachtree St NE,Ste B-30,Atlanta,30303,US,GA
uAlGALAF33HhWG1_D3nb7w,Green Sprout,https://s3-media4.fl.yelpcdn.com/bphoto/ZgCC1T9yojeiNQPrUvEP-A/o.jpg,https://www.yelp.com/biz/green-sprout-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.0,$$,(404) 874-7373,33.79593,-84.369,1529 Piedmont Ave NE,Ste D,Atlanta,30324,US,GA
Qb9cp70aBi9XosT9Pm097w,Bole Ethiopian Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/e22hbKzIAQa7iJVrwAMlhg/o.jpg,https://www.yelp.com/biz/bole-ethiopian-restaurant-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$,(404) 549-9111,33.6594751,-84.4408562,1583 Virginia Ave,,Atlanta,30337,US,GA
L-N2DXeYfCmhaMb6TdAWNA,Harmony Vegetarian Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/hEi1TRYnGnqYMhMWI_dghQ/o.jpg,https://www.yelp.com/biz/harmony-vegetarian-restaurant-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.0,$$,(770) 457-7288,33.884632,-84.287716,4897 Buford Hwy,Ste 109,Atlanta,30341,US,GA
8t_SUCB414vy_b8vqObNGg,KarmaFarm,https://s3-media2.fl.yelpcdn.com/bphoto/bwpF1YH9fQqTcPGrUkz1QA/o.jpg,https://www.yelp.com/biz/karmafarm-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$,(404) 812-0477,33.815334,-84.390599,2277 Peachtree Rd,Ste B,Atlanta,30309,US,GA
BSTBdhf-F8IhZgqDNkmhOw,R. Thomas Deluxe Grill,https://s3-media1.fl.yelpcdn.com/bphoto/OQoZwb16MED6INh4aFr5qA/o.jpg,https://www.yelp.com/biz/r-thomas-deluxe-grill-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.0,$$,(404) 881-0246,33.804511,-84.393731,1812 Peachtree St NW,,Atlanta,30309,US,GA
9TLfCS60bIu5DLY4JBfNLw,Lazy Betty,https://s3-media1.fl.yelpcdn.com/bphoto/Hun7q-w-3phX-hFFboGLDw/o.jpg,https://www.yelp.com/biz/lazy-betty-atlanta-2?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$$$,(404) 975-3692,33.76279,-84.3375,1530 Dekalb Ave NE,,Atlanta,30307,US,GA
r0JxdG5StcD8eiHF9u01ZQ,Slutty Vegan,https://s3-media1.fl.yelpcdn.com/bphoto/sFwVhj6lXUjdctf9JMBX7Q/o.jpg,https://www.yelp.com/biz/slutty-vegan-atlanta-14?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$,(678) 732-3525,33.743291,-84.438019,1542 Ralph David Abernathy Bvld SW,,Atlanta,30310,US,GA
U-i6cq-yFRVJC4pIKSLX9Q,Poor Calvin's,https://s3-media3.fl.yelpcdn.com/bphoto/OqNT3uMiq-ZvhkPmJz_2eA/o.jpg,https://www.yelp.com/biz/poor-calvins-atlanta-15?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$$,(404) 254-4051,33.7684,-84.38226,510 Piedmont Ave NE,,Atlanta,30308,US,GA
NEH9IVvl1e1vcSU0sK9YQg,NaanStop,https://s3-media1.fl.yelpcdn.com/bphoto/X1jgKQrbPGjrEcGTspSDIg/o.jpg,https://www.yelp.com/biz/naanstop-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.0,$,(404) 522-6226,33.7558309,-84.3894655,64 Broad St NW,,Atlanta,30303,US,GA
TbT767c06HnuVhKUbk3HSg,Soul Vegetarian No  2,https://s3-media2.fl.yelpcdn.com/bphoto/76F0aH1I6vgl43OonAo22g/o.jpg,https://www.yelp.com/biz/soul-vegetarian-no-2-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,3.5,$$,(404) 875-0145,33.77225,-84.35273,652 N Highland Ave NE,,Atlanta,30306,US,GA
WpC8T9oazzH7A7yR5e56Vg,gusto!,https://s3-media2.fl.yelpcdn.com/bphoto/ECsphZDRQnMldMS_KVdVqA/o.jpg,https://www.yelp.com/biz/gusto-atlanta-2?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$,(404) 352-4157,33.8075938694564,-84.3935011499407,1935 Peachtree Rd NE,,Atlanta,30309,US,GA
S6pc488qCzUKLGwXDvCUoQ,Aamar Indian Cuisine,https://s3-media3.fl.yelpcdn.com/bphoto/7jN7OekIQEBHtwzIHUdaSg/o.jpg,https://www.yelp.com/biz/aamar-indian-cuisine-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$,(404) 257-6959,33.757311,-84.389912,100 Luckie St NW,,Atlanta,30303,US,GA
1b-SIUJttFwlFWTfpp0Xqg,Tassili's Raw Reality,https://s3-media4.fl.yelpcdn.com/bphoto/M5-Ds9kIn4PO1zxG0okT7A/o.jpg,https://www.yelp.com/biz/tassilis-raw-reality-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$,(404) 343-6126,33.73863,-84.42255,1059 Ralph David Abernathy Blvd,,Atlanta,30310,US,GA
3D3t6TODQDyRUB3jUadiGA,Velvet Taco,https://s3-media3.fl.yelpcdn.com/bphoto/GL4AmI7mWLbMLYJgGa5P8A/o.jpg,https://www.yelp.com/biz/velvet-taco-atlanta-3?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$,(470) 485-8557,33.78527,-84.41149,1115 Howell Mill Rd Bldg 300,,Atlanta,30318,US,GA
a5akxlhWpAF4OiQcAPZTnw,Home grown,https://s3-media2.fl.yelpcdn.com/bphoto/6l3qd3j4PXo-52hZJXfBAA/o.jpg,https://www.yelp.com/biz/home-grown-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$,(404) 222-0455,33.746686,-84.35588,968 Memorial Dr SE,,Atlanta,30316,US,GA
RpsYzOuyCoAVKLl-vQL1mw,"Tom, Dick & Hank",https://s3-media1.fl.yelpcdn.com/bphoto/w_r05aLSIVoFECYrcGpUbw/o.jpg,https://www.yelp.com/biz/tom-dick-and-hank-atlanta-3?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.0,$$,(404) 343-3774,33.7370185852051,-84.3941879272461,191 Ralph David Abernathy Blvd SW,,Atlanta,30312,US,GA
g9YfGaCb49yrLb7FpD9A7g,La Grotta Ristorante Italiano,https://s3-media1.fl.yelpcdn.com/bphoto/DCGeoU6V44lze2OeUxaJuw/o.jpg,https://www.yelp.com/biz/la-grotta-ristorante-italiano-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$$,(404) 231-1368,33.8266215659531,-84.3866370747994,2637 Peachtree Rd NE,,Atlanta,30305,US,GA
SdHy9PY_y6s-tv3Na_B8Wg,Dulce Vegan Bakery and Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/asfXZw9cqSsxqrHxc4fD3A/o.jpg,https://www.yelp.com/biz/dulce-vegan-bakery-and-cafe-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$,(404) 624-7417,33.7512849,-84.3220925,1994 Hosea L Williams Dr NE,,Atlanta,30317,US,GA
vgUv079XkNbWOtBf3tYKnw,The Hungry Peach,https://s3-media3.fl.yelpcdn.com/bphoto/a5r65Wc66zlpTr3zqoiwHg/o.jpg,https://www.yelp.com/biz/the-hungry-peach-atlanta-2?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$,(404) 816-9009,33.817,-84.37502,351 Peachtree Hills Ave NE,Ste 232,Atlanta,30305,US,GA
4ynjy_izzyz3cKj5u2_zIw,Soul Vegetarian Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/MGPE87FuS0ta6GcPpPt8Lw/o.jpg,https://www.yelp.com/biz/soul-vegetarian-restaurant-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,3.5,$$,(404) 752-5194,33.738598,-84.41646,879 Ralph David Abernathy Blvd SW,,Atlanta,30310,US,GA
EmJOkTKIwgm7QJbls7hN3w,Seven Lamps,https://s3-media1.fl.yelpcdn.com/bphoto/5zaoBWOYlf5IXTlnbJStZw/o.jpg,https://www.yelp.com/biz/seven-lamps-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.0,$$,(404) 467-8950,33.847036028129,-84.3656622761963,3400 Around Lenox Rd,,Atlanta,30326,US,GA
Cc7zACxmaPH48KaQhrQnRQ,My Potato Factory,https://s3-media1.fl.yelpcdn.com/bphoto/KrpU_nkbdlV-X2vPWExeKw/o.jpg,https://www.yelp.com/biz/my-potato-factory-atlanta-3?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$,(404) 343-1946,33.743291,-84.4375347258932,1521 Ralph David Abernathy Blvd SW,,Atlanta,30310,US,GA
klJKIbiGWDpPIVhWeb4tZQ,Folk Art Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/pvSz0-3ebIDhQFYSHKa-cw/o.jpg,https://www.yelp.com/biz/folk-art-restaurant-atlanta-3?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.0,$$,(404) 537-4492,33.7667368641747,-84.3528679828033,465 N Highland Ave NE,,Atlanta,30307,US,GA
JEXsHhdk33FGxPDWCXZkqA,Healthfull Essence,https://s3-media3.fl.yelpcdn.com/bphoto/Uuul108CKaPy_FFyzi1gOA/o.jpg,https://www.yelp.com/biz/healthfull-essence-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.0,$$,(404) 806-0830,33.73731,-84.41647,875 York Ave SW,,Atlanta,30310,US,GA
bFrdL0CL4P1djjSOeWzRRg,Plant Based Pizzeria,https://s3-media1.fl.yelpcdn.com/bphoto/UjRNTgCVzu7mwJkKx99E5A/o.jpg,https://www.yelp.com/biz/plant-based-pizzeria-no-title?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$,(404) 835-2739,33.77441,-84.35894,730 Barnett St NE,,Atlanta,30306,US,GA
qahyS2-7QXGYn6dD94_Ljw,Tannour Mediterranean Grill,https://s3-media1.fl.yelpcdn.com/bphoto/I_fRnpjhqHgwz4lH5HoRYw/o.jpg,https://www.yelp.com/biz/tannour-grill-atlanta-3?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$,(404) 873-1500,33.78592,-84.40019,398 14th St NW,,Atlanta,30318,US,GA
1q3u0GmFKRKPV_ikCiCbUw,Gunshow,https://s3-media2.fl.yelpcdn.com/bphoto/hiAklHPw4H_LkhDPk8kZUA/o.jpg,https://www.yelp.com/biz/gunshow-atlanta-2?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.5,$$$,(404) 380-1886,33.7407023786913,-84.3580284818322,924 Garrett St,Ste C,Atlanta,30316,US,GA
5TUgoAP936AVzoSaXzLz-A,PushStart Kitchen,https://s3-media4.fl.yelpcdn.com/bphoto/LZUKuarTY-A7aqafnNzEdQ/o.jpg,https://www.yelp.com/biz/pushstart-kitchen-atlanta?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,5.0,$$$,,33.75531,-84.39085,,,Atlanta,30301,US,GA
wuOlcGt0jzkSnXA-kkPJHA,The Consulate,https://s3-media1.fl.yelpcdn.com/bphoto/MrMPSQap4U5kylqnR8-rFQ/o.jpg,https://www.yelp.com/biz/the-consulate-atlanta-5?adjust_creative=8FqV9RwP1MsckrQfp0GrXA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=8FqV9RwP1MsckrQfp0GrXA,4.0,$$,(404) 254-5760,33.7817942,-84.3871875,10 10th St NW,,Atlanta,30309,US,GA
